Gender,Age,Debt,Married,BankCustomer,Industry,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved,Approved_enc,Gender_Male,Married_Yes,BankCustomer_Yes,Industry_ConsumerDiscretionary,Industry_ConsumerStaples,Industry_Education,Industry_Energy,Industry_Financials,Industry_Healthcare,Industry_Industrials,Industry_InformationTechnology,Industry_Materials,Industry_Real Estate,Industry_Research,Industry_Transport,Industry_Unknown,Industry_Utilities,Industry_communicationservices,Industry_consumerdiscretionary,Industry_consumerstaples,Industry_education,Industry_energy,Industry_financials,Industry_healthcare,Industry_industrials,Industry_informationtechnology,Industry_materials,Industry_real estate,Industry_research,Industry_transport,Industry_utilities,PriorDefault_Yes,Employed_Yes,DriversLicense_Yes,Citizen_ByOtherMeans,Citizen_Temporary,Citizen_Unknown,Citizen_bybirth,Citizen_byothermeans,Citizen_temporary
Female,40.17,9.92,Yes,Yes,Financials,Yes,Yes,21.0,Yes,ByBirth,9524,26047.0,Approved,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,47.61,5.01,No,Yes,CommunicationServices,Yes,No,19.0,No,ByBirth,62249,73958.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Male,23.0,9.26,No,Yes,Utilities,No,Yes,64.0,Yes,ByOtherMeans,26621,42632.0,Approved,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Female,30.67,22.6,No,No,Energy,Yes,Yes,33.0,Yes,Temporary,40799,90289.0,Approved,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Male,24.93,1.87,No,Yes,Research,Yes,No,29.0,Yes,bybirth,95060,4208.0,Rejected,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Male,24.49,27.45,Yes,Yes,ConsumerStaples,Yes,Yes,46.0,Yes,Temporary,59378,40505.0,Approved,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Male,66.03,5.56,Yes,No,ConsumerStaples,Yes,Yes,10.0,No,ByBirth,37611,49471.0,Approved,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,58.69,12.99,No,Yes,CommunicationServices,No,Yes,61.0,Yes,ByOtherMeans,32852,21231.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Male,69.81,17.24,No,No,Financials,Yes,Yes,58.0,No,ByBirth,58245,25075.0,Approved,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,16.38,7.96,Yes,No,Transport,Yes,No,15.0,Yes,ByBirth,66933,26576.0,Rejected,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Female,61.83,19.67,No,No,Industrials,No,Yes,39.0,No,ByBirth,46350,49471.0,Rejected,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Male,74.15,22.63,No,Yes,InformationTechnology,No,Yes,53.0,No,Temporary,34243,55907.0,Rejected,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Female,32.15,13.64,No,Yes,Energy,Yes,Yes,46.0,Yes,ByBirth,74480,9446.0,Approved,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,31.72,3.79,No,Yes,ConsumerStaples,No,Yes,13.0,Yes,ByBirth,29682,63368.0,Rejected,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,17.45,2.18,Yes,Yes,Real Estate,Yes,No,61.0,No,bybirth,32848,52824.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Female,77.54,7.61,Yes,Yes,InformationTechnology,Yes,Yes,19.0,Yes,ByBirth,78562,17769.0,Approved,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,79.49,18.34,No,Yes,Energy,Yes,Yes,67.0,No,ByBirth,50037,35858.0,Approved,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,47.61,27.13,No,Yes,InformationTechnology,No,No,55.0,Yes,ByOtherMeans,95720,13723.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Male,26.97,-1.0,Yes,No,Education,Yes,Yes,21.0,No,Temporary,96418,36467.0,Approved,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Female,32.39,21.61,No,Yes,Energy,Yes,Yes,52.0,No,ByBirth,16526,30517.0,Approved,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
